T,v,vw,o,c,h,l,t,n
IDU,91743.0,82.3297,83.15,81.61,83.4,81.45,1702587600000,751.0
RKDA,22383.0,2.9978,3.02,3.08,3.0982,2.87,1702587600000,204.0
DON,484746.0,45.8662,45.41,45.86,46.0499,45.41,1702587600000,2109.0
PILL,207176.0,6.9806,7.07,6.95,7.2,6.79,1702587600000,1246.0
BCML,36136.0,22.7594,22.79,22.7,22.9,22.55,1702587600000,751.0
CLOV,6668298.0,1.0154,1.0,1.0,1.05,0.995,1702587600000,13162.0
SHEN,191423.0,20.6765,21.17,20.64,21.43,20.43,1702587600000,3816.0
MVO,32371.0,12.0609,11.9,12.1,12.215,11.9,1702587600000,261.0
DFUS,766482.0,51.452,51.49,51.46,51.67,51.17,1702587600000,1573.0
DFIN,151845.0,60.599,61.55,60.54,61.85,59.38,1702587600000,3953.0
UAA,7723655.0,8.6701,8.78,8.58,8.8917,8.53,1702587600000,34644.0
IBD,28202.0,23.5069,23.33,23.48,23.54,23.33,1702587600000,111.0
MEIP,30620.0,6.5801,6.54,6.56,6.6899,6.52,1702587600000,325.0
TOK,948.0,98.5239,98.5,98.5437,98.5741,98.5,1702587600000,13.0
BALL,2870248.0,59.4923,59.75,59.14,60.76,59.015,1702587600000,36620.0
MCRI,95993.0,68.1706,67.26,68.34,68.745,67.11,1702587600000,2948.0
TTT,62150.0,69.4225,70.36,67.4,72.0,67.39,1702587600000,380.0
EXPO,347749.0,85.2385,84.98,85.11,86.19,83.87,1702587600000,9791.0
ALCO,52545.0,30.0599,30.7,29.9,31.0,29.83,1702587600000,839.0
FL,7195414.0,30.9865,30.61,31.38,31.45,30.12,1702587600000,61574.0
GNL,2943029.0,9.6578,9.63,9.66,9.92,9.54,1702587600000,17517.0
POWL,206917.0,88.1979,89.28,88.46,90.39,87.1,1702587600000,6371.0
HGBL,182159.0,2.6197,2.52,2.65,2.68,2.52,1702587600000,1066.0
PCTY,845147.0,165.287,164.72,165.36,168.06,162.0,1702587600000,22576.0
MPAA,116693.0,9.023,9.27,8.95,9.35,8.7,1702587600000,1920.0
T,54484997.0,16.6643,16.51,16.65,16.81,16.51,1702587600000,152487.0
SCOR,114456.0,0.7085,0.72,0.72,0.73,0.6958,1702587600000,660.0
SVRE,2298657.0,0.5739,0.6,0.585,0.66,0.49,1702587600000,4267.0
ZLS,9350.0,10.6581,10.63,10.66,10.66,10.63,1702587600000,33.0
GORO,910088.0,0.329,0.3,0.3319,0.341,0.3,1702587600000,1535.0
EFV,2290757.0,52.2353,52.04,52.25,52.42,51.9798,1702587600000,11923.0
FPFD,6247.0,20.8256,20.7,20.84,20.85,20.7,1702587600000,49.0
