symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isActivelyTrading
AAPL,Apple Inc.,2994380584000,Technology,Consumer Electronics,1.308,192.53,0.96,42522894,NASDAQ Global Select,NASDAQ,US,False,True
MSFT,Microsoft Corporation,2794827050400,Technology,Software—Infrastructure,0.897,376.04,3.0,18706605,NASDAQ Global Select,NASDAQ,US,False,True
GOOG,Alphabet Inc.,1755459014574,Communication Services,Internet Content & Information,1.035,140.93,0.0,14816100,NASDAQ Global Select,NASDAQ,US,False,True
AMZN,"Amazon.com, Inc.",1570147960000,Consumer Cyclical,Internet Retail,1.17,151.94,0.0,36399540,NASDAQ Global Select,NASDAQ,US,False,True
NVDA,NVIDIA Corporation,1224181400000,Technology,Semiconductors,1.691,495.62,0.16,36629903,NASDAQ Global Select,NASDAQ,US,False,True
VITSX,Vanguard Total Stock Market Index Fund,982147661791,,,1.01,115.98,0.772,0,NASDAQ,NASDAQ,US,False,True
VTSAX,Vanguard Total Stock Market Index Fund,982062989262,,,1.0,115.97,0.766,0,NASDAQ,NASDAQ,US,False,True
VOO,Vanguard 500 Index Fund,934243435507,,,1.0,436.8,6.3571,4357593,New York Stock Exchange Arca,AMEX,US,True,True
VFIAX,Vanguard 500 Index Fd Admiral Shs,933878375489,,,1.0,439.99,3.0673000000000004,0,NASDAQ,NASDAQ,,False,True
META,"Meta Platforms, Inc.",909628598460,Communication Services,Internet Content & Information,1.197,353.96,0.0,14970726,NASDAQ Global Select,NASDAQ,US,False,True
TSLA,"Tesla, Inc.",789898041600,Consumer Cyclical,Auto Manufacturers,2.262,248.48,0.0,100240940,NASDAQ Global Select,NASDAQ,US,False,True
BRK-B,Berkshire Hathaway Inc.,776891072337,Financial Services,Insurance—Diversified,0.86,356.66,0.0,3219924,New York Stock Exchange,NYSE,US,False,True
BRK-A,Berkshire Hathaway Inc.,776045453625,Financial Services,Insurance—Diversified,0.86,542625.0,0.0,8111,New York Stock Exchange,NYSE,US,False,True
